Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_dorsal,_1,classification_results_test.xlsx,0.8250
fv_dorsal,_10,classification_results_test.xlsx,0.9250
fv_dorsal,_100,classification_results_test.xlsx,0.7250
fv_dorsal,_11,classification_results_test.xlsx,0.9000
fv_dorsal,_12,classification_results_test.xlsx,0.8500
fv_dorsal,_13,classification_results_test.xlsx,0.9250
fv_dorsal,_14,classification_results_test.xlsx,0.6500
fv_dorsal,_15,classification_results_test.xlsx,0.9250
fv_dorsal,_16,classification_results_test.xlsx,0.8750
fv_dorsal,_17,classification_results_test.xlsx,0.9250
fv_dorsal,_18,classification_results_test.xlsx,0.8500
fv_dorsal,_19,classification_results_test.xlsx,0.6750
fv_dorsal,_2,classification_results_test.xlsx,0.8000
fv_dorsal,_20,classification_results_test.xlsx,0.9500
fv_dorsal,_21,classification_results_test.xlsx,0.9250
fv_dorsal,_22,classification_results_test.xlsx,0.8750
fv_dorsal,_23,classification_results_test.xlsx,0.7750
fv_dorsal,_24,classification_results_test.xlsx,0.9000
fv_dorsal,_25,classification_results_test.xlsx,0.9250
fv_dorsal,_26,classification_results_test.xlsx,0.7000
fv_dorsal,_27,classification_results_test.xlsx,0.7250
fv_dorsal,_28,classification_results_test.xlsx,0.9000
fv_dorsal,_29,classification_results_test.xlsx,0.8250
fv_dorsal,_3,classification_results_test.xlsx,0.8250
fv_dorsal,_30,classification_results_test.xlsx,0.9500
fv_dorsal,_31,classification_results_test.xlsx,0.9000
fv_dorsal,_32,classification_results_test.xlsx,0.8000
fv_dorsal,_33,classification_results_test.xlsx,0.9000
fv_dorsal,_34,classification_results_test.xlsx,0.9000
fv_dorsal,_35,classification_results_test.xlsx,0.6500
fv_dorsal,_36,classification_results_test.xlsx,0.6500
fv_dorsal,_37,classification_results_test.xlsx,0.9500
fv_dorsal,_38,classification_results_test.xlsx,0.9000
fv_dorsal,_39,classification_results_test.xlsx,0.8750
fv_dorsal,_4,classification_results_test.xlsx,0.9250
fv_dorsal,_40,classification_results_test.xlsx,0.7750
