Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_dorsal,_1,classification_results_test_full.xlsx,0.9034
fv_dorsal,_10,classification_results_test_full.xlsx,0.9345
fv_dorsal,_100,classification_results_test_full.xlsx,0.7931
fv_dorsal,_11,classification_results_test_full.xlsx,0.9138
fv_dorsal,_12,classification_results_test_full.xlsx,0.9034
fv_dorsal,_13,classification_results_test_full.xlsx,0.9207
fv_dorsal,_14,classification_results_test_full.xlsx,0.5276
fv_dorsal,_15,classification_results_test_full.xlsx,0.9069
fv_dorsal,_16,classification_results_test_full.xlsx,0.8207
fv_dorsal,_17,classification_results_test_full.xlsx,0.9000
fv_dorsal,_18,classification_results_test_full.xlsx,0.9000
fv_dorsal,_19,classification_results_test_full.xlsx,0.5517
fv_dorsal,_2,classification_results_test_full.xlsx,0.8379
fv_dorsal,_20,classification_results_test_full.xlsx,0.9241
fv_dorsal,_21,classification_results_test_full.xlsx,0.9069
fv_dorsal,_22,classification_results_test_full.xlsx,0.9483
fv_dorsal,_23,classification_results_test_full.xlsx,0.9069
fv_dorsal,_24,classification_results_test_full.xlsx,0.9207
fv_dorsal,_25,classification_results_test_full.xlsx,0.8966
fv_dorsal,_26,classification_results_test_full.xlsx,0.8931
fv_dorsal,_27,classification_results_test_full.xlsx,0.5793
fv_dorsal,_28,classification_results_test_full.xlsx,0.9034
fv_dorsal,_29,classification_results_test_full.xlsx,0.6172
fv_dorsal,_3,classification_results_test_full.xlsx,0.9241
fv_dorsal,_30,classification_results_test_full.xlsx,0.9345
fv_dorsal,_31,classification_results_test_full.xlsx,0.8966
fv_dorsal,_32,classification_results_test_full.xlsx,0.9172
fv_dorsal,_33,classification_results_test_full.xlsx,0.8690
fv_dorsal,_34,classification_results_test_full.xlsx,0.8966
fv_dorsal,_35,classification_results_test_full.xlsx,0.5517
fv_dorsal,_36,classification_results_test_full.xlsx,0.9172
fv_dorsal,_37,classification_results_test_full.xlsx,0.9276
fv_dorsal,_38,classification_results_test_full.xlsx,0.8931
fv_dorsal,_39,classification_results_test_full.xlsx,0.9207
fv_dorsal,_4,classification_results_test_full.xlsx,0.9345
fv_dorsal,_40,classification_results_test_full.xlsx,0.9034
fv_dorsal,_41,classification_results_test_full.xlsx,0.9069
fv_dorsal,_42,classification_results_test_full.xlsx,0.8931
fv_dorsal,_43,classification_results_test_full.xlsx,0.9103
fv_dorsal,_44,classification_results_test_full.xlsx,0.9241
fv_dorsal,_45,classification_results_test_full.xlsx,0.8034
fv_dorsal,_46,classification_results_test_full.xlsx,0.9172
fv_dorsal,_47,classification_results_test_full.xlsx,0.9138
fv_dorsal,_48,classification_results_test_full.xlsx,0.8828
fv_dorsal,_49,classification_results_test_full.xlsx,0.9483
fv_dorsal,_5,classification_results_test_full.xlsx,0.9207
fv_dorsal,_50,classification_results_test_full.xlsx,0.8517
fv_dorsal,_51,classification_results_test_full.xlsx,0.9276
fv_dorsal,_52,classification_results_test_full.xlsx,0.9138
fv_dorsal,_53,classification_results_test_full.xlsx,0.8655
fv_dorsal,_54,classification_results_test_full.xlsx,0.9069
fv_dorsal,_55,classification_results_test_full.xlsx,0.8759
fv_dorsal,_56,classification_results_test_full.xlsx,0.9172
fv_dorsal,_57,classification_results_test_full.xlsx,0.9172
fv_dorsal,_58,classification_results_test_full.xlsx,0.9103
fv_dorsal,_59,classification_results_test_full.xlsx,0.9069
fv_dorsal,_6,classification_results_test_full.xlsx,0.9000
fv_dorsal,_60,classification_results_test_full.xlsx,0.9172
fv_dorsal,_61,classification_results_test_full.xlsx,0.9034
fv_dorsal,_62,classification_results_test_full.xlsx,0.8966
fv_dorsal,_63,classification_results_test_full.xlsx,0.9034
fv_dorsal,_64,classification_results_test_full.xlsx,0.8862
fv_dorsal,_65,classification_results_test_full.xlsx,0.9138
fv_dorsal,_66,classification_results_test_full.xlsx,0.8862
fv_dorsal,_67,classification_results_test_full.xlsx,0.8828
fv_dorsal,_68,classification_results_test_full.xlsx,0.8483
fv_dorsal,_69,classification_results_test_full.xlsx,0.8897
fv_dorsal,_7,classification_results_test_full.xlsx,0.8793
fv_dorsal,_70,classification_results_test_full.xlsx,0.6759
fv_dorsal,_71,classification_results_test_full.xlsx,0.9138
fv_dorsal,_72,classification_results_test_full.xlsx,0.8724
fv_dorsal,_73,classification_results_test_full.xlsx,0.8483
fv_dorsal,_74,classification_results_test_full.xlsx,0.9345
fv_dorsal,_75,classification_results_test_full.xlsx,0.8310
fv_dorsal,_76,classification_results_test_full.xlsx,0.5483
fv_dorsal,_77,classification_results_test_full.xlsx,0.7828
fv_dorsal,_78,classification_results_test_full.xlsx,0.9172
fv_dorsal,_79,classification_results_test_full.xlsx,0.9345
fv_dorsal,_8,classification_results_test_full.xlsx,0.9138
fv_dorsal,_80,classification_results_test_full.xlsx,0.8931
fv_dorsal,_81,classification_results_test_full.xlsx,0.9207
fv_dorsal,_82,classification_results_test_full.xlsx,0.8069
fv_dorsal,_83,classification_results_test_full.xlsx,0.8724
fv_dorsal,_84,classification_results_test_full.xlsx,0.8966
fv_dorsal,_85,classification_results_test_full.xlsx,0.8966
fv_dorsal,_86,classification_results_test_full.xlsx,0.6931
fv_dorsal,_87,classification_results_test_full.xlsx,0.9000
fv_dorsal,_88,classification_results_test_full.xlsx,0.9069
fv_dorsal,_89,classification_results_test_full.xlsx,0.9345
fv_dorsal,_9,classification_results_test_full.xlsx,0.9103
fv_dorsal,_90,classification_results_test_full.xlsx,0.9069
fv_dorsal,_91,classification_results_test_full.xlsx,0.9034
fv_dorsal,_92,classification_results_test_full.xlsx,0.9000
fv_dorsal,_93,classification_results_test_full.xlsx,0.9103
fv_dorsal,_94,classification_results_test_full.xlsx,0.8690
fv_dorsal,_95,classification_results_test_full.xlsx,0.9276
fv_dorsal,_96,classification_results_test_full.xlsx,0.9138
fv_dorsal,_97,classification_results_test_full.xlsx,0.9207
fv_dorsal,_98,classification_results_test_full.xlsx,0.9241
fv_dorsal,_99,classification_results_test_full.xlsx,0.6414
fv_dorsasl_mixed,_1,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_10,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_100,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_11,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_12,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_13,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_14,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_15,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_16,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_17,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_18,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_19,classification_results_test_full.xlsx,0.4423
fv_dorsasl_mixed,_2,classification_results_test_full.xlsx,0.4327
fv_dorsasl_mixed,_20,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_21,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_22,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_23,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_24,classification_results_test_full.xlsx,0.5288
fv_dorsasl_mixed,_25,classification_results_test_full.xlsx,0.4904
fv_dorsasl_mixed,_26,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_27,classification_results_test_full.xlsx,0.3558
fv_dorsasl_mixed,_28,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_29,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_3,classification_results_test_full.xlsx,0.4038
fv_dorsasl_mixed,_30,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_31,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_32,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_33,classification_results_test_full.xlsx,0.3750
fv_dorsasl_mixed,_34,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_35,classification_results_test_full.xlsx,0.5096
fv_dorsasl_mixed,_36,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_37,classification_results_test_full.xlsx,0.3750
fv_dorsasl_mixed,_38,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_39,classification_results_test_full.xlsx,0.4423
fv_dorsasl_mixed,_4,classification_results_test_full.xlsx,0.4231
fv_dorsasl_mixed,_40,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_41,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_42,classification_results_test_full.xlsx,0.4135
fv_dorsasl_mixed,_43,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_44,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_45,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_46,classification_results_test_full.xlsx,0.5096
fv_dorsasl_mixed,_47,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_48,classification_results_test_full.xlsx,0.3846
fv_dorsasl_mixed,_49,classification_results_test_full.xlsx,0.4423
fv_dorsasl_mixed,_5,classification_results_test_full.xlsx,0.5192
fv_dorsasl_mixed,_50,classification_results_test_full.xlsx,0.4519
fv_dorsasl_mixed,_51,classification_results_test_full.xlsx,0.4423
fv_dorsasl_mixed,_52,classification_results_test_full.xlsx,0.4904
fv_dorsasl_mixed,_53,classification_results_test_full.xlsx,0.4038
fv_dorsasl_mixed,_54,classification_results_test_full.xlsx,0.5096
fv_dorsasl_mixed,_55,classification_results_test_full.xlsx,0.4615
fv_dorsasl_mixed,_56,classification_results_test_full.xlsx,0.4423
fv_dorsasl_mixed,_57,classification_results_test_full.xlsx,0.4712
fv_dorsasl_mixed,_58,classification_results_test_full.xlsx,0.5000
fv_dorsasl_mixed,_59,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_6,classification_results_test_full.xlsx,0.4808
fv_dorsasl_mixed,_60,classification_results_test_full.xlsx,0.5096
fv_dorsasl_mixed,_61,classification_results_test_full.xlsx,0.4038
